,St_01,St_02,St_03,St_04,St_05,St_06,St_07,St_08,St_09,St_10,St_11,St_12,St_13,St_14,St_15,St_16,St_17,St_18
,35.898,35.998,36.065,36.132,36.2,36.267,36.333,36.4,36.467,36.517,36.565,36.618,36.665,36.715,36.752,36.78,36.815,36.862
,-8.3352,-8.3332,-8.3348,-8.3342,-8.3343,-8.3343,-8.3327,-8.3328,-8.3345,-8.3343,-8.3323,-8.3335,-8.3328,-8.3325,-8.3333,-8.3343,-8.3325,-8.3333
1,21.448,21.715,21.748,21.741,21.693,21.662,21.182,20.739,20.351,19.998,19.764,19.358,17.826,17.771,17.664,17.959,17.617,17.19
2,21.448,21.715,21.748,21.741,21.693,21.662,21.182,20.739,20.351,19.998,19.764,19.358,17.826,17.771,17.664,17.959,17.617,17.19
3,21.448,21.715,21.748,21.741,21.693,21.662,21.182,20.739,20.351,19.998,19.764,19.358,17.826,17.771,17.664,17.959,17.617,17.19
4,21.448,21.715,21.748,21.741,21.693,21.662,21.182,20.739,20.351,19.998,19.764,19.358,17.826,17.771,17.664,17.959,17.617,17.19
5,21.448,21.715,21.748,21.741,21.695,21.662,21.116,20.739,20.351,19.998,19.764,19.358,17.826,17.771,17.664,17.959,17.617,17.192
6,21.447,21.716,21.748,21.741,21.693,21.635,21.055,20.739,20.351,19.998,19.764,19.348,17.819,17.789,17.664,17.959,17.613,17.18
6.9,21.446,21.718,21.75,21.741,21.691,21.562,20.948,20.777,20.326,19.998,19.764,19.329,17.792,17.819,17.668,17.931,17.547,17.157
7.9,21.447,21.719,21.747,21.742,21.687,21.457,20.898,20.806,20.288,20.017,19.765,19.284,17.781,17.822,17.668,17.861,17.437,17.121
8.9,21.449,21.72,21.719,21.742,21.68,21.327,20.883,20.81,20.264,20.03,19.762,19.235,17.802,17.829,17.658,17.788,17.362,17.061
9.9,21.45,21.72,21.649,21.735,21.655,21.186,20.878,20.775,20.248,20.019,19.712,19.17,17.768,17.801,17.638,17.737,17.306,16.984
10.9,21.451,21.719,21.592,21.69,21.619,21.091,20.883,20.725,20.225,20.009,19.579,19.069,17.68,17.54,17.6,17.7,17.27,16.875
11.9,21.452,21.718,21.574,21.598,21.589,21.058,20.884,20.676,20.185,19.997,19.437,18.992,17.618,16.994,17.55,17.66,17.229,16.632
12.9,21.455,21.717,21.555,21.503,21.559,21.037,20.82,20.634,20.124,19.975,19.355,18.957,17.599,16.627,17.521,17.598,17.152,16.368
13.9,21.455,21.717,21.528,21.444,21.516,21.022,20.719,20.58,20.054,19.896,19.305,18.933,17.589,16.561,17.513,17.526,16.964,16.246
