,St_01,St_02,St_03,St_04,St_05,St_06,St_07,St_08,St_09,St_10,St_11,St_12,St_13,St_14,St_15,St_16,St_17,St_18
,35.898,35.998,36.065,36.132,36.2,36.267,36.333,36.4,36.467,36.517,36.565,36.618,36.665,36.715,36.752,36.78,36.815,36.862
,-8.3352,-8.3332,-8.3348,-8.3342,-8.3343,-8.3343,-8.3327,-8.3328,-8.3345,-8.3343,-8.3323,-8.3335,-8.3328,-8.3325,-8.3333,-8.3343,-8.3325,-8.3333
1,36.604,36.618,36.615,36.611,36.599,36.591,36.558,36.523,36.433,36.378,36.34,36.411,36.079,36.018,36.022,36.016,36.007,35.956
2,36.604,36.618,36.615,36.611,36.599,36.591,36.558,36.523,36.433,36.378,36.34,36.411,36.079,36.018,36.022,36.016,36.007,35.956
3,36.604,36.618,36.615,36.611,36.599,36.591,36.558,36.523,36.433,36.378,36.34,36.411,36.079,36.018,36.022,36.016,36.007,35.956
4,36.604,36.618,36.615,36.611,36.599,36.591,36.558,36.523,36.433,36.378,36.34,36.411,36.079,36.018,36.022,36.016,36.007,35.956
5,36.604,36.618,36.615,36.611,36.597,36.591,36.557,36.523,36.433,36.378,36.34,36.411,36.079,36.018,36.022,36.016,36.007,35.956
6,36.604,36.617,36.615,36.611,36.597,36.594,36.555,36.523,36.433,36.378,36.34,36.414,36.081,36.022,36.022,36.016,36.007,35.957
6.9,36.604,36.617,36.614,36.61,36.597,36.599,36.552,36.521,36.434,36.378,36.34,36.422,36.084,36.022,36.022,36.017,36.01,35.957
7.9,36.604,36.617,36.616,36.61,36.597,36.6,36.551,36.521,36.435,36.379,36.339,36.432,36.084,36.022,36.023,36.021,36.015,35.958
8.9,36.604,36.617,36.62,36.61,36.599,36.601,36.551,36.526,36.435,36.381,36.342,36.431,36.081,36.024,36.024,36.027,36.015,35.959
9.9,36.604,36.617,36.624,36.611,36.601,36.596,36.548,36.53,36.435,36.381,36.351,36.425,36.091,36.024,36.025,36.025,36.011,35.959
10.9,36.604,36.617,36.619,36.615,36.602,36.586,36.544,36.53,36.435,36.381,36.361,36.417,36.106,36.04,36.028,36.021,36.007,35.961
11.9,36.604,36.617,36.611,36.623,36.6,36.578,36.546,36.53,36.437,36.381,36.357,36.408,36.109,36.055,36.028,36.022,36.01,35.971
12.9,36.604,36.617,36.609,36.62,36.6,36.576,36.553,36.53,36.438,36.385,36.346,36.402,36.106,36.041,36.023,36.025,36.017,35.973
13.9,36.604,36.617,36.61,36.606,36.602,36.575,36.551,36.533,36.435,36.391,36.342,36.399,36.104,36.016,36.021,36.029,36.024,35.958
