,Station_1_Sal_[PSU],Station_2_Sal_[PSU],Station_3_Sal_[PSU],Station_4_Sal_[PSU],,,,,,,,
,57.56,57.63,57.68,57.72,,,,,,,,
1,21.359,22.0913,16.1129,16.5471,,,,,,,,
2,21.3605,22.0925,16.9015,17.7972,,,,,,,,
3,21.362,22.105,19.8448,22.3015,,,,,,,,
4,21.3724,22.1822,20.7633,22.9711,,,,,,,,
5,21.3925,22.2149,21.3218,23.2005,,,,,,,,
6,21.4626,22.2948,21.9917,23.2985,,,,,,,,
7,21.5692,22.4968,22.422,23.3497,,,,,,,,
8,22.054,22.9635,22.5709,23.3925,,,,,,,,
9,22.9057,23.6029,22.7248,23.4574,,,,,,,,
10,23.2482,23.6666,22.9487,23.5335,,,,,,,,
11,23.4372,23.6621,23.2649,23.8615,,,,,,,,
12,23.7321,23.8425,23.4862,24.057,,,,,,,,
13,24.5378,24.1907,23.699,24.178,,,,,,,,
14,24.8985,24.3386,23.9843,24.3683,,,,,,,,
15,25.2968,24.4169,24.3517,24.4302,,,,,,,,
16,25.4719,24.6188,24.6025,24.6517,,,,,,,,
17,25.8082,24.6695,24.9169,25.5115,,,,,,,,
18,26.2564,24.6794,25.2036,26.8643,,,,,,,,
19,27.2031,,25.372,30.4746,,,,,,,,
20,28.6302,,25.4495,32.237,,,,,,,,
21,,,,32.49,,,,,,,,
22,,,,32.6407,,,,,,,,
23,,,,32.6821,,,,,,,,
24,,,,32.7148,,,,,,,,
25,,,,32.7601,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
