,St_01,St_02,St_03,St_04,St_05,St_06,St_07,St_08,St_09,St_10,St_11,St_12,St_13,St_14,St_15,St_16,St_17,St_18
,35.898,35.998,36.065,36.132,36.2,36.267,36.333,36.4,36.467,36.517,36.565,36.618,36.665,36.715,36.752,36.78,36.815,36.862
,-8.3352,-8.3332,-8.3348,-8.3342,-8.3343,-8.3343,-8.3327,-8.3328,-8.3345,-8.3343,-8.3323,-8.3335,-8.3328,-8.3325,-8.3333,-8.3343,-8.3325,-8.3333
1,233.82,214.74,241.47,223.18,218.36,213.35,220.4,226.04,222.02,220.44,226.34,231.45,242.56,247.71,235.33,240.86,249.2,249.2
2,232.92,215.84,241.29,222.86,218,214.53,221.4,226.3,222.81,221.19,226.65,231.11,242.64,248.01,236.95,241.65,249.43,249.43
3,232.02,216.95,241.17,222.59,217.71,215.72,222.4,226.56,223.62,221.94,226.98,230.81,242.73,248.35,238.58,242.44,249.68,249.68
4,231.12,218.08,241.17,222.39,217.53,216.91,223.4,226.83,224.46,222.71,227.38,230.56,242.84,248.77,240.25,243.26,249.98,249.98
5,230.22,219.24,241.32,222.24,217.47,218.11,224.43,227.13,225.37,223.51,227.84,230.41,242.97,249.3,241.97,244.14,250.33,250.33
6,229.33,220.45,241.68,222.12,217.52,219.35,225.49,227.49,226.36,224.41,228.41,230.35,243.11,249.97,243.78,245.13,250.76,250.76
6.9,228.54,221.72,242.28,222.03,217.72,220.6,226.54,227.93,227.48,225.46,229.09,230.38,243.29,250.84,245.71,246.28,251.3,251.3
7.9,227.87,223,243.18,221.96,218.06,221.81,227.53,228.44,228.71,226.66,229.91,230.52,243.52,251.9,247.73,247.58,251.95,251.95
8.9,227.31,224.26,244.38,221.93,218.56,222.96,228.43,228.99,229.99,227.93,230.83,230.81,243.81,253.1,249.72,248.96,252.71,252.71
9.9,226.85,225.45,245.82,221.96,219.25,224.01,229.24,229.54,231.3,229.19,231.82,231.22,244.16,254.4,251.62,250.37,253.57,253.57
10.9,226.51,226.55,247.48,222.12,220.15,224.97,229.97,230.07,232.58,230.41,232.86,231.76,244.54,255.77,253.39,251.76,254.51,254.51
11.9,226.26,227.54,249.32,222.42,221.19,225.85,230.67,230.6,233.82,231.58,233.9,232.46,244.93,257.17,255.03,253.09,255.51,255.51
12.9,226.11,228.41,251.27,222.81,222.27,226.68,231.38,231.12,235,232.7,234.91,233.3,245.33,258.55,256.51,254.35,256.53,256.53
13.9,226.08,229.15,253.25,223.22,223.32,227.43,232.04,231.64,236.11,233.77,235.89,234.21,245.73,259.86,257.82,255.49,257.57,257.57
